,Method,Season:DJF,Season:JJA,Season:MAM,Season:SON,Year
RMSE,Bicubic Interp.,1.33,1.31,1.26,1.26,1.3
RMSE,DeepESD,1.02,1.02,0.96,0.97,1.0
RMSE,Swin2SR,0.91,0.96,0.89,0.89,0.92
RMSE,UNet,0.97,1.0,0.92,0.94,0.96
MSE,Bicubic Interp.,2.09,2.15,1.95,1.92,2.03
MSE,DeepESD,1.13,1.16,0.99,1.03,1.08
MSE,Swin2SR,0.89,1.02,0.84,0.85,0.9
MSE,UNet,1.0,1.1,0.9,0.95,0.99
MAE,Bicubic Interp.,1.04,1.03,0.99,0.99,1.01
MAE,DeepESD,0.76,0.77,0.72,0.74,0.75
MAE,Swin2SR,0.68,0.72,0.66,0.67,0.68
MAE,UNet,0.72,0.75,0.69,0.71,0.72
Bias,Bicubic Interp.,0.24,0.26,0.28,0.28,0.26
Bias,DeepESD,-0.01,-0.08,-0.04,-0.0,-0.04
Bias,Swin2SR,-0.02,-0.1,-0.02,-0.01,-0.04
Bias,UNet,0.0,-0.06,-0.01,-0.0,-0.02
SSIM,Bicubic Interp.,0.68,0.7,0.7,0.71,0.7
SSIM,DeepESD,0.83,0.88,0.88,0.87,0.87
SSIM,Swin2SR,0.87,0.9,0.91,0.9,0.89
SSIM,UNet,0.86,0.9,0.9,0.89,0.89
PSNR,Bicubic Interp.,23.47,23.8,23.47,23.7,23.61
PSNR,DeepESD,27.79,28.25,28.59,28.17,28.2
PSNR,Swin2SR,28.93,28.97,29.38,29.03,29.08
PSNR,UNet,28.5,28.7,29.18,28.67,28.76
